,Missing,Percent
error,991,99.1
issue_date,942,94.2
wind_speed_kmh,942,94.2
valid_until,942,94.2
alert_types,940,94.0
alert_active,940,94.0
generated_at,900,90.0
confidence,900,90.0
forecast_time,900,90.0
precipitation_chance,900,90.0
predicted_temp_c,900,90.0
forecast_hours_ahead,900,90.0
wind_direction,640,64.0
wind_speed_mps,640,64.0
humidity_percent,640,64.0
feels_like_c,640,64.0
cloud_coverage,640,64.0
visibility_m,640,64.0
pressure_hpa,640,64.0
timestamp,640,64.0
weather_description,640,64.0
weather_main,640,64.0
extraction_method,520,52.0
condition,520,52.0
data_type,480,48.0
url,469,46.9
temperature_c,160,16.0
scraped_at,100,10.0
city,60,6.0
ï»¿source,0,0.0
collection_time,0,0.0
batch_number,0,0.0
batch_timestamp,0,0.0
record_number,0,0.0
